epoch,train_loss,train_top1,train_top5,test_loss,test_top1,test_top5
1,4.6262,1.7,8.15,4.4183,2.63,11.27
2,4.2502,3.42,15.37,4.0582,5.53,22.23
3,3.8758,8.58,28.02,3.6199,11.78,36.88
4,3.4859,15.18,41.13,3.2906,18.77,46.44
5,3.05,23.03,53.28,3.0648,23.49,53.69
6,2.6994,30.22,62.49,2.7507,30.07,63.31
7,2.4508,35.66,68.29,2.8452,29.91,61.19
8,2.2609,39.49,72.52,2.4007,38.4,70.34
9,2.1152,42.96,75.36,2.3026,39.25,72.51
10,2.0095,45.27,77.44,2.1922,41.37,74.24
11,1.9219,47.68,79.14,2.1862,43.6,74.59
12,1.8467,49.16,80.43,2.0732,45.16,76.34
13,1.7923,50.4,81.46,1.9735,47.61,78.46
14,1.7371,51.67,82.31,2.2065,44.16,75.98
15,1.6888,53.11,83.22,2.3277,42.19,73.47
16,1.6539,53.81,83.88,1.8891,50.3,80.44
17,1.6149,54.97,84.58,2.178,44.42,76.15
18,1.5915,55.35,84.85,1.9733,48.87,79.54
19,1.5744,55.71,84.98,1.9867,48.31,78.56
20,1.5559,56.39,85.41,2.0465,47.34,77.74
21,1.5288,56.86,85.95,2.0983,46.75,79.01
22,1.5152,57.25,86.11,2.047,47.93,77.55
23,1.5051,57.46,86.26,2.2013,45.1,75.5
24,1.4879,57.9,86.49,2.0055,48.78,78.71
25,1.4782,58.17,86.54,2.3646,44.06,74.18
26,1.4649,58.7,86.77,2.0699,47.47,77.95
27,1.4563,58.71,87.0,2.2105,46.28,76.36
28,1.4404,59.2,87.24,1.8253,51.24,81.11
29,1.4338,59.31,87.33,2.0688,47.3,77.5
30,1.434,59.37,87.37,1.9873,49.59,80.71
31,1.4119,59.89,87.5,1.8184,51.52,82.15
32,1.4111,60.11,87.64,2.1446,46.17,75.54
33,1.405,60.04,87.83,2.2979,43.88,73.79
34,1.3869,60.28,88.13,2.2926,44.0,74.66
35,1.3961,60.05,87.92,1.8272,52.79,81.47
36,1.3863,60.47,88.02,2.1803,45.9,76.26
37,1.3781,60.77,88.14,1.9204,50.34,80.96
38,1.3768,61.01,88.28,1.9868,50.08,81.07
