epoch,lr,train_loss,train_top1,train_top5,test_loss,test_top1,test_top5,best_test_top1,epoch_time_sec
1,0.1,4.0268372508239745,7.402,24.856,3.9035696960449218,10.46,31.86,10.46,16.93202304840088
2,0.1,3.4134224982452395,16.828,43.696,3.1963113250732422,20.84,50.23,20.84,16.88030171394348
3,0.1,2.995216108932495,24.224,55.316,2.835769765472412,26.68,59.16,26.68,16.02478003501892
4,0.1,2.6736470958709715,30.454,63.358,2.847133316040039,29.44,60.6,29.44,16.000837087631226
5,0.1,2.4522768325042725,34.782,68.384,2.738331098937988,31.45,62.81,31.45,16.04434585571289
6,0.1,2.292069538192749,38.518,72.0,2.4699529846191406,36.09,69.09,36.09,16.332186937332153
7,0.1,2.164582329940796,41.316,74.938,2.5380863136291505,36.85,68.42,36.85,16.226423025131226
8,0.1,2.062241992149353,43.868,76.898,2.268674941253662,39.84,73.1,39.84,16.16921877861023
9,0.1,1.9986513683319092,45.212,78.046,2.376548059463501,39.22,70.54,39.84,16.806752920150757
10,0.1,1.9334930435180664,46.842,79.172,2.2191041553497315,41.59,74.67,41.59,16.034955978393555
11,0.1,1.891117226715088,47.878,79.934,2.4164209602355955,38.85,71.41,41.59,16.989017248153687
12,0.1,1.8582497296142577,48.714,80.59,2.072489633178711,44.21,76.59,44.21,16.52035093307495
13,0.1,1.8277816802215576,49.38,81.216,2.186704134750366,42.22,74.54,44.21,16.136301040649414
14,0.1,1.8172908638763428,49.636,81.11,2.069948192214966,45.04,76.65,45.04,16.44180178642273
15,0.1,1.779299083251953,50.478,81.946,2.891693824386597,35.39,67.63,45.04,16.18728804588318
16,0.1,1.7643330976104736,50.814,82.254,2.6079775077819822,36.81,69.13,45.04,16.26009964942932
17,0.1,1.7492491376113892,51.512,82.328,2.41370221824646,41.36,72.21,45.04,16.288511037826538
18,0.1,1.7293645831680298,51.878,82.5,2.2666365661621093,43.26,73.87,45.04,16.3370840549469
19,0.1,1.7233427923583984,52.166,82.912,2.5351185493469237,38.59,70.41,45.04,16.294949054718018
20,0.1,1.7110194644927978,52.11,83.26,2.0421748813629153,44.89,78.06,45.04,16.308627128601074
21,0.1,1.6926299276351928,52.638,83.416,2.074176438140869,43.56,76.47,45.04,16.609315872192383
22,0.1,1.687987301864624,52.796,83.546,2.3054573905944826,41.36,72.86,45.04,16.892754793167114
23,0.1,1.6890047858047486,52.802,83.45,2.2086153495788574,43.96,75.76,45.04,17.362967014312744
24,0.1,1.6729472286987304,53.328,83.786,2.1298345779418946,44.56,77.12,45.04,16.76094102859497
25,0.1,1.6702038614654542,53.252,83.676,2.1840936807632447,42.96,75.32,45.04,16.060928106307983
26,0.1,1.6534973572540284,53.756,83.996,1.9850667694091797,47.64,79.02,47.64,17.2502179145813
