epoch,lr,train_loss,train_loss_hard,train_loss_soft,train_top1,train_top5,test_loss,test_top1,test_top5,best_test_top1,epoch_time_sec
1,0.1,6.498077395935058,3.9144911907196045,0.14190099352359772,9.458,30.432,3.865413935470581,13.17,37.05,13.17,41.70865035057068
2,0.1,5.0907226109313966,3.048050961456299,0.11145928560495377,23.336,55.404,3.639841598892212,21.21,50.92,21.21,41.59366989135742
3,0.1,4.113655867614746,2.449318295288086,0.09028114765167236,35.34,70.072,2.7362683746337892,35.21,69.04,35.21,41.5938560962677
4,0.1,3.5027962432861326,2.0939347188568114,0.07674465261936188,43.384,77.644,2.788820599365234,36.86,70.72,36.86,41.591586112976074
5,0.1,3.1098910905456543,1.865650100402832,0.06803331384181976,49.072,81.684,2.3968124900817873,43.84,76.49,43.84,41.891942739486694
6,0.1,2.8444736264801027,1.7173181075668336,0.06205670545578003,53.084,84.192,2.690803077697754,43.36,74.33,43.84,42.79585814476013
7,0.1,2.6593878016662598,1.606101646194458,0.058010530450344086,55.546,86.082,2.0871447647094725,50.0,81.46,50.0,42.21351885795593
8,0.1,2.521471562652588,1.5238033173370362,0.05498655935168266,58.024,86.892,2.1914331882476805,49.88,79.91,50.0,42.66603899002075
9,0.1,2.4071804724121093,1.451603540802002,0.0525430843770504,59.776,88.268,2.152516595840454,50.4,81.3,50.4,42.1965069770813
10,0.1,2.317209267501831,1.3983726410675048,0.050563217173814776,61.0,88.918,2.164043807220459,50.22,81.14,50.4,42.20461964607239
11,0.1,2.246229081573486,1.35493524848938,0.049023795392513274,62.142,89.566,1.8533495429992677,55.28,83.95,55.28,42.2356390953064
12,0.1,2.207410155105591,1.3286288297271729,0.04822174188494682,62.806,89.834,2.57441767578125,46.69,77.37,55.28,42.20815300941467
13,0.1,2.1638007064819336,1.2972594751739501,0.047349092829227446,63.53,90.18,2.121019078826904,53.02,81.38,55.28,42.15696597099304
14,0.1,2.1102183940124513,1.265831111907959,0.046165713423490524,64.354,90.508,2.66962064704895,48.26,76.87,55.28,42.23909568786621
15,0.1,2.0785155699157714,1.2456277638244628,0.04549067794799805,64.956,91.152,1.846761693572998,56.85,84.73,56.85,42.17482900619507
16,0.1,2.0649161101531983,1.2307468893051148,0.04529820837140083,65.252,91.228,2.646777365875244,49.47,77.76,56.85,42.725035190582275
17,0.1,2.035069362640381,1.219115322113037,0.044547240781784056,65.564,91.17,2.274992515182495,51.98,81.37,56.85,42.22721600532532
18,0.1,2.002935974121094,1.202344100151062,0.043805122631788256,65.9,91.386,2.0370794277191164,55.52,84.36,56.85,42.18107628822327
19,0.1,1.9902863161468505,1.1891825882339477,0.0436154693877697,66.314,91.568,1.9653543361663819,55.01,84.76,56.85,42.32438397407532
20,0.1,1.973637356338501,1.1768057106018066,0.04328857804059982,66.638,91.808,1.8675022819519043,55.68,84.85,56.85,42.34531617164612
21,0.1,1.9529391524505615,1.166397349319458,0.042804389947652816,66.95,91.948,2.1634052520751954,54.22,82.22,56.85,42.206068992614746
22,0.1,1.9389553359985352,1.1549067769050598,0.04254693583607674,67.192,92.026,2.254481897735596,51.99,80.49,56.85,42.26824688911438
23,0.1,1.9183843858718872,1.1421003674316406,0.04210419380784035,67.448,92.246,1.9398290668487548,55.78,83.85,56.85,42.21647810935974
24,0.1,1.9261722972869872,1.145495174407959,0.0422945222401619,67.358,92.018,2.20057442111969,51.9,81.07,56.85,42.38338899612427
25,0.1,1.8837247277069091,1.1136051371383666,0.041466317521333694,67.902,92.564,2.297686487197876,51.48,80.95,56.85,42.2720251083374
26,0.1,1.8932889663696288,1.11812614402771,0.04169455925226211,68.17,92.346,1.88534038105011,56.25,85.12,56.85,42.21533513069153
27,0.1,1.8984030477905274,1.1222447642898559,0.0417900208735466,67.914,92.348,1.7255502145767212,58.71,86.02,58.71,42.21811509132385
28,0.1,1.8790301391601563,1.1159614729690552,0.04128279382944107,67.88,92.434,1.8320639205932616,57.02,85.4,58.71,42.60745191574097
29,0.1,1.8569877330398559,1.0973210639190674,0.04088522512197495,68.37,92.768,2.052060939025879,54.16,82.84,58.71,42.23535418510437
30,0.1,1.8517488758850098,1.0917557221984864,0.040808469233512876,68.558,92.812,1.7282087741851806,59.57,87.05,59.57,42.181395053863525
31,0.1,1.848281868171692,1.0856073098754884,0.04079619407773018,68.954,92.784,2.3810659774780274,50.76,80.04,59.57,42.170748233795166
32,0.1,1.8493179595184326,1.0910158533859253,0.04074406354665756,68.944,92.66,1.8902731231689454,57.91,85.17,59.57,43.28343987464905
33,0.1,1.8299177476501465,1.073219751815796,0.040415870990753174,69.0,92.878,2.080064208984375,56.87,83.43,59.57,42.33167123794556
34,0.1,1.8291884783935546,1.0767221668243407,0.04033835614442825,68.888,92.848,1.7185424068450927,59.95,87.11,59.95,42.24441695213318
35,0.1,1.8194710452270508,1.0645521883392335,0.04022484230875969,69.378,93.002,1.9869753383636475,56.19,83.93,59.95,42.524662733078
36,0.1,1.82514648147583,1.0752021590805054,0.040235793850421905,69.014,92.83,2.1162130840301514,54.8,82.55,59.95,42.263407945632935
37,0.1,1.8224771787643432,1.070725573272705,0.04022232461810112,69.23,92.854,1.996753091812134,54.85,84.24,59.95,42.3010618686676
38,0.1,1.801928344192505,1.060557307472229,0.03973905262470245,69.592,93.152,2.263018905258179,54.18,82.05,59.95,43.23531484603882
39,0.1,1.8162790061569214,1.0668859268951416,0.040088626382350924,69.412,92.926,1.8051775005340576,59.0,85.86,59.95,42.33683204650879
40,0.1,1.8057914073181152,1.0616903424072266,0.03984206990242004,69.3,92.98,1.808643366622925,58.36,86.52,59.95,42.76889491081238
41,0.1,1.8000311730194092,1.0540162378692628,0.03978197046160698,69.77,93.17,1.837935646057129,58.44,86.59,59.95,42.69218826293945
42,0.1,1.803807479248047,1.0569787341499328,0.03985369099259377,69.562,93.066,1.7316717384338378,60.05,86.61,60.05,43.078579902648926
43,0.1,1.7945369664001465,1.055909995727539,0.03958068655848503,69.622,93.022,1.9601115215301514,55.93,84.29,60.05,42.61431097984314
44,0.1,1.7900868284606934,1.0516684817886353,0.03950789331316948,69.398,93.292,1.840157406616211,56.78,85.7,60.05,42.42764902114868
45,0.1,1.7890442196655274,1.0497200191116334,0.039505756435394286,69.486,93.19,1.7937195363998413,58.82,85.5,60.05,42.519442081451416
46,0.1,1.7893603285217285,1.040938085975647,0.039652852652072905,69.91,93.228,1.6524819242477418,60.99,87.38,60.99,42.218698024749756
47,0.1,1.7921602174377442,1.0491624193572997,0.039611843950748446,69.902,93.204,1.8045778162002564,58.12,85.48,60.99,42.184244871139526
48,0.1,1.7706136107635497,1.0324453770828248,0.03919971639633179,70.396,93.264,1.807235280418396,57.86,84.84,60.99,42.23904013633728
49,0.1,1.7888746321105957,1.0451098376846313,0.039572491112947465,69.958,93.314,1.8918870426177978,57.54,85.35,60.99,42.21224498748779
