epoch,lr,train_loss,train_loss_hard,train_loss_soft,train_top1,train_top5,test_loss,test_top1,test_top5,best_test_top1,epoch_time_sec
1,0.1,6.60067335647583,3.98229044670105,0.14404775406837464,8.006,27.586,4.233130229949952,9.93,33.45,9.93,32.92764902114868
2,0.1,5.438754485168457,3.26298212097168,0.11897698196649552,19.138,49.212,3.328137794494629,21.41,52.31,21.41,32.41761612892151
3,0.1,4.578968229980469,2.735612196121216,0.1003488167309761,29.054,63.248,2.7204006996154786,31.39,66.28,31.39,32.9471640586853
4,0.1,4.000592397613525,2.3941945944976806,0.08760922199249267,36.5,71.386,2.564718154144287,36.97,70.87,36.97,32.45268106460571
5,0.1,3.625062772293091,2.1726002626037597,0.07933633239269257,41.682,75.876,2.7871529453277586,36.47,69.52,36.97,32.45225811004639
6,0.1,3.3742985067749025,2.02170676071167,0.07385766007661819,45.208,78.882,3.051666246795654,35.56,70.09,36.97,32.37337899208069
7,0.1,3.186934560699463,1.9129199907684327,0.0697023302769661,47.826,80.956,2.472979370880127,43.73,75.94,43.73,32.45231318473816
8,0.1,3.0261221096801756,1.8231582822418213,0.06607946769475936,50.288,82.376,2.11561362953186,47.4,79.42,47.4,32.33258509635925
9,0.1,2.9038899935913087,1.7501991774749757,0.06339969998121261,52.18,83.678,2.56150340423584,41.92,74.36,47.4,32.39557886123657
10,0.1,2.823707883300781,1.710212792930603,0.06151879663228989,53.234,84.392,2.5015065464019774,44.03,75.79,47.4,32.355278968811035
11,0.1,2.7432174879455564,1.6574001205062867,0.05982866942286491,54.462,85.118,2.070626111984253,49.47,80.94,49.47,32.42449903488159
12,0.1,2.6775322483825685,1.6128683429718018,0.05847181485176087,55.682,85.822,2.7476460823059083,44.96,74.29,49.47,32.34436821937561
13,0.1,2.6221689601135254,1.5848085916519166,0.05718014581441879,56.278,86.192,2.3831901023864748,46.28,77.6,49.47,32.375263929367065
14,0.1,2.5916716407775877,1.5631638013076783,0.05656530430912971,57.172,86.566,2.235260280418396,49.03,79.83,49.47,32.33852982521057
15,0.1,2.5347775392150877,1.533470979537964,0.05525131397724151,57.774,87.066,1.9825825944900513,51.85,82.06,51.85,32.45402121543884
16,0.1,2.499520719985962,1.5090852875137328,0.05453056509017944,58.202,87.488,2.30990541934967,47.89,79.15,51.85,32.408364057540894
