epoch,lr,train_loss,train_top1,train_top5,test_loss,test_top1,test_top5,best_test_top1,epoch_time_sec
1,0.1,4.462570476379395,2.458,10.5,4.236513787841797,4.04,16.74,4.04,72.25572609901428
2,0.1,3.9942467359161378,7.068,25.26,3.794887921524048,9.05,32.12,9.05,71.5565230846405
3,0.1,3.6135966571044924,13.042,37.758,3.5014540550231934,15.96,41.98,15.96,72.1584701538086
4,0.1,3.2180279679870605,20.06,49.33,3.2014854496002196,20.77,49.53,20.77,71.86992383003235
5,0.1,2.797986483001709,28.252,60.258,2.821911043548584,29.29,61.66,29.29,71.27345895767212
6,0.1,2.5035962379455565,34.178,67.36,2.4421141136169435,35.33,69.33,35.33,71.28724408149719
7,0.1,2.258223067321777,39.402,72.63,2.5515392066955567,35.87,67.36,35.87,71.39617705345154
8,0.1,2.1051964541625976,42.774,75.894,2.2861927097320556,40.97,73.88,40.97,72.4645688533783
9,0.1,1.9892053931427003,45.744,78.088,2.4590470748901367,37.79,69.62,40.97,73.42957305908203
10,0.1,1.905027324180603,47.534,79.542,2.2480123695373537,42.04,74.52,42.04,73.84639000892639
11,0.1,1.8328854153060914,49.448,80.884,2.1110486068725587,44.11,76.49,44.11,73.95762205123901
12,0.1,1.7782671099853515,50.63,81.904,2.3786847290039064,40.43,72.1,44.11,74.54438209533691
13,0.1,1.7361691347503663,51.692,82.45,2.229871861076355,43.26,75.05,44.11,74.55112290382385
14,0.1,1.6923374842453003,52.818,83.286,2.2812824531555176,42.4,73.93,44.11,73.05680584907532
15,0.1,1.6593060048675536,53.37,83.854,2.5069930191040037,40.84,72.69,44.11,72.51904201507568
16,0.1,1.6293530492401123,54.278,84.576,2.325796682357788,42.17,74.32,44.11,72.26976895332336
17,0.1,1.609765047340393,54.598,84.728,2.06345563621521,45.94,77.35,45.94,73.4139609336853
18,0.1,1.5847515551376343,55.628,85.174,1.9085693904876708,48.98,79.95,48.98,73.17623901367188
19,0.1,1.569167911529541,55.908,85.156,2.114793684196472,45.61,76.56,48.98,73.6872079372406
20,0.1,1.551408773727417,56.384,85.512,2.151441757583618,45.88,76.09,48.98,73.60936880111694
21,0.1,1.5354000481796264,56.558,86.006,2.1265434909820558,45.49,77.19,48.98,71.88425517082214
22,0.1,1.5206090877914429,57.19,86.068,2.0764913181304934,48.21,78.31,48.98,73.86449670791626
23,0.1,1.5073332233428955,57.34,86.368,2.016604591369629,46.71,79.12,48.98,72.88593673706055
24,0.1,1.5000172875213622,57.864,86.536,2.136438067626953,43.83,77.59,48.98,73.59747409820557
25,0.1,1.480047887840271,57.894,86.802,1.9670620441436768,48.11,79.81,48.98,74.16458106040955
26,0.1,1.4782633703613282,57.996,86.832,2.085222747039795,47.65,78.17,48.98,74.6188268661499
27,0.1,1.4648696443939209,58.456,87.062,1.8224453193664552,50.61,81.85,50.61,74.23524284362793
28,0.1,1.4570352161026001,58.7,87.156,1.7758485088348388,52.12,82.38,52.12,71.41094398498535
29,0.1,1.4483177279663086,58.786,87.1,1.9211161888122559,49.66,80.67,52.12,71.98858618736267
30,0.1,1.4427737883758545,58.756,87.374,2.106626047897339,46.15,75.91,52.12,74.03553485870361
31,0.1,1.4306432588577271,59.228,87.354,2.0777935836791994,46.29,78.7,52.12,73.27264595031738
32,0.1,1.415330209350586,59.776,87.8,2.0562102979660035,48.68,78.36,52.12,74.14269208908081
33,0.1,1.42622074760437,59.404,87.712,2.480357905960083,41.18,72.73,52.12,76.46877694129944
34,0.1,1.4127663361358642,59.664,87.84,1.7905325099945069,52.62,81.97,52.62,73.95928406715393
35,0.1,1.408084676094055,60.11,87.772,1.9601395618438722,49.09,80.08,52.62,71.34020519256592
36,0.1,1.412789856414795,59.73,87.806,2.085560738182068,47.24,77.25,52.62,71.21209383010864
37,0.1,1.4018624111175537,60.156,87.852,2.606849892425537,39.84,69.44,52.62,71.30641412734985
38,0.1,1.398849080543518,60.13,87.938,1.8106412893295287,51.65,81.88,52.62,71.28703594207764
39,0.1,1.4024384763717652,60.12,87.842,1.8646577796936035,51.86,80.61,52.62,71.24726390838623
40,0.1,1.3808222201538085,60.61,88.422,1.95339253616333,50.11,79.49,52.62,71.28357815742493
41,0.1,1.388440473060608,60.422,88.2,2.2216212608337402,44.34,74.25,52.62,71.34505486488342
42,0.1,1.388502448577881,60.462,88.138,2.009133223724365,49.77,78.41,52.62,71.3369357585907
43,0.1,1.3807740219497682,60.462,88.114,2.1417116012573243,46.38,76.15,52.62,71.35200309753418
